channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k_target,obs_psd,p_mc
EE,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,137,2.1900076489053634e-11,0.394
EE,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,139,2.5297777155414175e-11,0.009
