channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k_target,obs_psd,p_mc
BB,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,137,1.2377710072378143e-11,0.0
BB,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,139,1.039028080998474e-11,0.0145
