kind,channel,label,raw,freq,bin,psd_obs,p_mc,p_global
target,BB,k=137,137,0.00103915411338,137,1.62440208274,0.128,
target,BB,k=139,139,0.00105432424642,139,0.399498989895,0.634,
scan_peak,BB,k=137,,0.00103915411338,137,1.62440208274,,0.466
scan,BB,k=136,136,0.00103156904686,136,0.285278011153,,
scan,BB,k=137,137,0.00103915411338,137,1.62440208274,,
scan,BB,k=138,138,0.0010467391799,138,0.621093186519,,
scan,BB,k=139,139,0.00105432424642,139,0.399498989895,,
scan,BB,k=140,140,0.00106190931294,140,1.1261907432,,
