filter,lmin,lmax,center,hamming_rate,rs_mean_zero,rs_tail_rate,p_mean,p_tail
composites,140,156,148.0,0.06544150605109816,0.125,0.0,0.8183632734530938,1.0
composites,142,158,150.0,0.06407214048410062,0.0,0.0,1.0,1.0
composites,144,160,152.0,0.06445586174684727,0.25,0.0,0.4930139720558882,1.0
composites,146,162,154.0,0.060689655172413794,0.125,0.0,0.812375249500998,1.0
composites,148,164,156.0,0.05819070904645477,0.25,0.0,0.5049900199600799,1.0
composites,150,166,158.0,0.06460296096904442,0.375,0.0,0.24750499001996007,1.0
composites,152,168,160.0,0.06497552291944815,0.25,0.0,0.47305389221556887,1.0
composites,154,170,162.0,0.0648838228846997,0.25,0.0,0.5029940119760479,1.0
composites,156,172,164.0,0.06695464362850972,0.2222222222222222,0.0,0.5489021956087824,1.0
composites,158,174,166.0,0.06643806258036862,0.1111111111111111,0.0,0.8642714570858283,1.0
composites,160,176,168.0,0.0654837346852556,0.0,0.0,1.0,1.0
composites,162,178,170.0,0.061640982923781756,0.0,0.0,1.0,1.0
