channel,ell,S
EE,100,0.06062185982324401
EE,101,0.06691589131799108
EE,102,0.1038149471291036
EE,103,0.04859297007170162
EE,104,0.05392785893815154
EE,105,0.07317877897564432
EE,106,0.05551938423312532
EE,107,0.06564789989157743
EE,108,0.12882408009770033
EE,109,0.03081660901631775
EE,110,0.062088166480133024
EE,111,0.07838724534532313
EE,112,0.05616054332281129
EE,113,0.13312049450480812
EE,114,0.05743776253420212
EE,115,0.08289682607362722
EE,116,0.04790758796730984
EE,117,0.08306104204764747
EE,118,0.08585894068662746
EE,119,0.013709411597150747
EE,120,0.06600908195843577
EE,121,0.0767417445390454
EE,122,0.15646143143352256
EE,123,0.03528567117750523
EE,124,0.12427201205676627
EE,125,0.04432423722861698
EE,126,0.05881953821295502
EE,127,0.12171036823594272
EE,128,0.07249885770985424
EE,129,0.10793701322927243
EE,130,0.06540277455689472
EE,131,0.05697668797375589
EE,132,0.11444861600439268
EE,133,0.1477433328085812
EE,134,0.03255743107353933
EE,135,0.1300362305609572
EE,136,0.09287436001988635
EE,137,0.11513212098136463
EE,138,0.13447957284797718
EE,139,0.06619571180764139
EE,140,0.15524028057561692
EE,141,0.03296229045259231
EE,142,0.02526521507283564
EE,143,0.05188133276292682
EE,144,0.0674115425978315
EE,145,0.13341461451421707
EE,146,0.03674410795457434
EE,147,0.05740412836938867
EE,148,0.1284300879124472
EE,149,0.08811373783248294
EE,150,0.09763460489438147
EE,151,0.025484587483394473
EE,152,0.07437760241078485
EE,153,0.033379574678478664
EE,154,0.03857322339723412
EE,155,0.08519092422098165
EE,156,0.07038296241131664
EE,157,0.12388902528565879
EE,158,0.11806301804217366
EE,159,0.057656371332736586
EE,160,0.02765521837756442
EE,161,0.05714291460512708
EE,162,0.06487067176055662
EE,163,0.028766521743490828
EE,164,0.040027670368057815
EE,165,0.04348570947383928
EE,166,0.10748415667959156
EE,167,0.018179231882127795
EE,168,0.09937191147257105
EE,169,0.07035271432820236
EE,170,0.04097232208870038
EE,171,0.07782566920508573
EE,172,0.08997749885266255
EE,173,0.03753702225685903
EE,174,0.016792857118485504
EE,175,0.025808217319606284
EE,176,0.13697076044184947
EE,177,0.08064116314862388
EE,178,0.021605142734167748
EE,179,0.024406263690373117
EE,180,0.013348073468215677
EE,181,0.009257315118663621
EE,182,0.045576252725694495
EE,183,0.04874983772056066
EE,184,0.12675778840640456
EE,185,0.035583687053372295
EE,186,0.06734672551806735
EE,187,0.04347236417140656
EE,188,0.0326419877266968
EE,189,0.026806521618366386
EE,190,0.12628954495479128
EE,191,0.07050896456603274
EE,192,0.05119546223108459
EE,193,0.03682463748947059
EE,194,0.07653180305554168
EE,195,0.09663177668740226
EE,196,0.09433285042021296
EE,197,0.012429754416607564
EE,198,0.03532389879590738
EE,199,0.04149612769950449
EE,200,0.03664769979661197
BB,100,0.07255138657412415
BB,101,0.14172764278504685
BB,102,0.07106520458485598
BB,103,0.06872898082292563
BB,104,0.10908444158123388
BB,105,0.09932507797640883
BB,106,0.11818324654200627
BB,107,0.04920773438235812
BB,108,0.10486885248468175
BB,109,0.08000346025960905
BB,110,0.04966795023183124
BB,111,0.04325637800454857
BB,112,0.10167006218258436
BB,113,0.027261239589391466
BB,114,0.07898475455295176
BB,115,0.11591944881413244
BB,116,0.03039877971093938
BB,117,0.015224560449514214
BB,118,0.030836133235725635
BB,119,0.10808303736479477
BB,120,0.12078800483043245
BB,121,0.14563911986699854
BB,122,0.022032970179719658
BB,123,0.13014628903675518
BB,124,0.04315721972352532
BB,125,0.05888394983381385
BB,126,0.10871276330321344
BB,127,0.10487608862769436
BB,128,0.00820099632905058
BB,129,0.08913930457178842
BB,130,0.034975348486748895
BB,131,0.03480841954592849
BB,132,0.06493575741212608
BB,133,0.07983126340955278
BB,134,0.02499995231657457
BB,135,0.02078480161739768
BB,136,0.06668152219955956
BB,137,0.04690771713536154
BB,138,0.11231224589448956
BB,139,0.05418954487111365
BB,140,0.07618024092558354
BB,141,0.007594689980826631
BB,142,0.06842447082793106
BB,143,0.04730401584960104
BB,144,0.049811666527153985
BB,145,0.07802767315666166
BB,146,0.05686359068263822
BB,147,0.08899034688863998
BB,148,0.09893355821950883
BB,149,0.09265524598216782
BB,150,0.07709521155959487
BB,151,0.07501819861624916
BB,152,0.022019779230143942
BB,153,0.07777529767152011
BB,154,0.0024507887342667973
BB,155,0.12847250272385533
BB,156,0.03445161388864807
BB,157,0.04963500757524074
BB,158,0.09552759399371269
BB,159,0.06821516536399569
BB,160,0.047722016713601975
BB,161,0.03136220029322484
BB,162,0.08903386004488029
BB,163,0.027224158661681336
BB,164,0.027603850043630456
BB,165,0.038520119432252226
BB,166,0.08023278004166987
BB,167,0.06569642870935273
BB,168,0.04916012718275847
BB,169,0.016221774539960057
BB,170,0.017385767874753502
BB,171,0.05711499957721261
BB,172,0.10406205379763449
BB,173,0.012898935310829964
BB,174,0.06424664030994554
BB,175,0.05960315466011118
BB,176,0.04757454037767239
BB,177,0.03156155083595132
BB,178,0.05595124571751025
BB,179,0.018553833185474492
BB,180,0.13966632561648082
BB,181,0.09246425866718086
BB,182,0.0579967055872018
BB,183,0.04208473206133085
BB,184,0.033806014039054554
BB,185,0.07615616116003013
BB,186,0.07874794818143921
BB,187,0.027335435733220715
BB,188,0.0629475104243196
BB,189,0.07143486867335974
BB,190,0.052931211081995576
BB,191,0.024161933183231208
BB,192,0.07189974021415466
BB,193,0.06131787136036937
BB,194,0.07544460327487884
BB,195,0.11505085025281361
BB,196,0.056452476732625934
BB,197,0.06170404223091947
BB,198,0.13583502257392194
BB,199,0.04790087702905634
BB,200,0.10144226943307495
