channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k_target,obs_psd,p_mc
BB,256,512,1024,0.0,value,hann,False,phi-roll,2000,0,137,1.5922848595133803e-12,0.7775
BB,256,512,1024,0.0,value,hann,False,phi-roll,2000,0,139,5.030868518130802e-12,0.4645
