channel,stat,ell1,ell2,value,p_emp
EE,S,137,,0.11513212098136463,0.17647058823529413
EE,S,139,,0.06619571180764139,0.47058823529411764
EE,C,137,139,0.04254482048909902,0.7928103594820259
BB,S,137,,0.04690771713536154,0.7156862745098039
BB,S,139,,0.05418954487111365,0.6078431372549019
BB,C,137,139,0.027303135140218517,0.9061046947652618
