channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k_target,obs_psd,p_mc
BB,256,512,1024,0.0,value,none,True,phi-roll,2000,0,137,8.660550402736679e-12,0.6645
BB,256,512,1024,0.0,value,none,True,phi-roll,2000,0,139,9.64691546952933e-12,0.014
