channel,ell,S
TT,100,0.16047606927882857
TT,101,0.05088605936065985
TT,102,0.1090465526539279
TT,103,0.08052538692810365
TT,104,0.14199174083334581
TT,105,0.05419836403918349
TT,106,0.05047384994787012
TT,107,0.0782821956294357
TT,108,0.04698687480159026
TT,109,0.10717425007467075
TT,110,0.116062809185298
TT,111,0.10259656619545997
TT,112,0.17683542025080007
TT,113,0.04964977917555818
TT,114,0.03948248210136977
TT,115,0.10306595731725492
TT,116,0.05389547190992787
TT,117,0.05205389686470213
TT,118,0.05165258346828789
TT,119,0.08907925611787995
TT,120,0.1770699347434621
TT,121,0.10063507557047811
TT,122,0.16598540103153173
TT,123,0.08367371935612954
TT,124,0.09602535455758238
TT,125,0.13744759736651993
TT,126,0.06472803925630177
TT,127,0.10907444841721034
TT,128,0.01939849527866296
TT,129,0.1612548224097038
TT,130,0.04544022514306487
TT,131,0.041194140464518456
TT,132,0.039403603957363996
TT,133,0.0726090862882402
TT,134,0.03284289444210022
TT,135,0.07348667664601269
TT,136,0.05885207962251963
TT,137,0.08742641980658779
TT,138,0.1313123660964998
TT,139,0.07882849411013594
TT,140,0.08163899896997387
TT,141,0.03161797647293347
TT,142,0.06787021698185289
TT,143,0.023983230658793025
TT,144,0.0632456522841734
TT,145,0.013831816530348186
TT,146,0.04299977276958854
TT,147,0.10101028618964647
TT,148,0.05632733723478123
TT,149,0.0683351642700572
TT,150,0.09615396715832174
TT,151,0.06132016697114659
TT,152,0.043292353348294184
TT,153,0.13685794457626718
TT,154,0.04578549013201368
TT,155,0.05603639042785278
TT,156,0.10926769109003345
TT,157,0.17601984958212039
TT,158,0.06938847481579097
TT,159,0.0376903136230091
TT,160,0.05469750091752251
TT,161,0.1011454145554564
TT,162,0.11162032269576917
TT,163,0.1189963932927948
TT,164,0.09214775401823179
TT,165,0.062411125207512255
TT,166,0.1193743456699358
TT,167,0.037266683928111166
TT,168,0.07226814366183215
TT,169,0.011255263009126925
TT,170,0.12686510757776628
TT,171,0.07711421665729166
TT,172,0.12207533837041909
TT,173,0.07635825208057795
TT,174,0.10295779682939049
TT,175,0.10441387112784235
TT,176,0.05943150916815324
TT,177,0.07972263651561531
TT,178,0.0944283981262047
TT,179,0.045101027508560466
TT,180,0.022431987511648634
TT,181,0.0528811460311627
TT,182,0.013607640796939791
TT,183,0.04880394259195841
TT,184,0.1005104974956765
TT,185,0.06599665870725459
TT,186,0.023223157323175724
TT,187,0.014417708169071373
TT,188,0.11726932786941553
TT,189,0.10262561234111606
TT,190,0.04167639383143971
TT,191,0.07158839881182806
TT,192,0.0907653122201974
TT,193,0.09557788153292358
TT,194,0.09113963710919101
TT,195,0.03145393810203676
TT,196,0.13594425529995044
TT,197,0.06461870221374248
TT,198,0.10414832800318069
TT,199,0.1351309877956739
TT,200,0.041119670401904125
