theta_deg,channel,delta_mean_prime_minus_composite
0.15,TT,0.0024691358024691358
0.15,EE,-0.0024691358024691358
0.15,BB,0.009876543209876543
0.155,TT,-0.0024691358024691358
0.155,EE,-0.0037037037037037034
0.155,BB,-0.0037037037037037034
0.16,TT,-0.0012345679012345679
0.16,EE,-0.0012345679012345679
0.16,BB,0.007407407407407407
0.165,TT,-0.0012345679012345679
0.165,EE,0.0024691358024691358
0.165,BB,-0.0024691358024691358
0.17,TT,0.008641975308641974
0.17,EE,0.0
0.17,BB,-0.006172839506172839
0.17500000000000002,TT,0.012345679012345678
0.17500000000000002,EE,0.0
0.17500000000000002,BB,-0.0037037037037037034
0.18000000000000002,TT,-0.0037037037037037034
0.18000000000000002,EE,0.009876543209876543
0.18000000000000002,BB,0.0
0.18500000000000003,TT,0.0037037037037037034
0.18500000000000003,EE,0.009876543209876543
0.18500000000000003,BB,0.0024691358024691358
0.19000000000000003,TT,-0.006172839506172839
0.19000000000000003,EE,0.009876543209876543
0.19000000000000003,BB,-0.0024691358024691358
0.19500000000000003,TT,-0.0037037037037037034
0.19500000000000003,EE,-0.0037037037037037034
0.19500000000000003,BB,0.0024691358024691358
0.20000000000000004,TT,0.0049382716049382715
0.20000000000000004,EE,-0.0037037037037037034
0.20000000000000004,BB,0.01604938271604938
0.20500000000000004,TT,0.0037037037037037034
0.20500000000000004,EE,-0.0037037037037037034
0.20500000000000004,BB,0.01728395061728395
0.21000000000000005,TT,-0.006172839506172839
0.21000000000000005,EE,-0.0012345679012345679
0.21000000000000005,BB,-0.0049382716049382715
0.21500000000000005,TT,0.0012345679012345677
0.21500000000000005,EE,0.01111111111111111
0.21500000000000005,BB,-0.006172839506172839
0.22000000000000006,TT,0.0024691358024691358
0.22000000000000006,EE,0.0
0.22000000000000006,BB,-0.0049382716049382715
0.22500000000000006,TT,-0.0024691358024691358
0.22500000000000006,EE,0.007407407407407407
0.22500000000000006,BB,-0.0012345679012345679
0.23000000000000007,TT,-0.0024691358024691358
0.23000000000000007,EE,-0.007407407407407407
0.23000000000000007,BB,-0.008641975308641974
0.23500000000000007,TT,0.0012345679012345677
0.23500000000000007,EE,0.0037037037037037034
0.23500000000000007,BB,0.01111111111111111
0.24000000000000007,TT,-0.0049382716049382715
0.24000000000000007,EE,0.0012345679012345677
0.24000000000000007,BB,0.0024691358024691358
0.24500000000000008,TT,0.0049382716049382715
0.24500000000000008,EE,-0.0049382716049382715
0.24500000000000008,BB,0.0012345679012345677
0.25000000000000006,TT,0.024691358024691357
0.25000000000000006,EE,-0.007407407407407407
0.25000000000000006,BB,-0.0024691358024691358
0.25500000000000006,TT,-0.0012345679012345679
0.25500000000000006,EE,-0.0012345679012345679
0.25500000000000006,BB,0.0
0.26000000000000006,TT,-0.006172839506172839
0.26000000000000006,EE,-0.0037037037037037034
0.26000000000000006,BB,-0.006172839506172839
0.26500000000000007,TT,0.0037037037037037034
0.26500000000000007,EE,0.008641975308641974
0.26500000000000007,BB,-0.0012345679012345679
0.2700000000000001,TT,-0.0037037037037037034
0.2700000000000001,EE,-0.006172839506172839
0.2700000000000001,BB,-0.0037037037037037034
0.2750000000000001,TT,0.0037037037037037034
0.2750000000000001,EE,0.0012345679012345677
0.2750000000000001,BB,0.0049382716049382715
0.2800000000000001,TT,-0.0024691358024691358
0.2800000000000001,EE,0.006172839506172839
0.2800000000000001,BB,-0.0037037037037037034
0.2850000000000001,TT,0.0012345679012345677
0.2850000000000001,EE,-0.006172839506172839
0.2850000000000001,BB,0.0037037037037037034
0.2900000000000001,TT,-0.0037037037037037034
0.2900000000000001,EE,0.0049382716049382715
0.2900000000000001,BB,-0.0037037037037037034
0.2950000000000001,TT,0.007407407407407407
0.2950000000000001,EE,0.003703703703703704
0.2950000000000001,BB,-0.0012345679012345679
0.3000000000000001,TT,-0.0012345679012345679
0.3000000000000001,EE,0.0012345679012345677
0.3000000000000001,BB,-0.0024691358024691358
