delta_alpha_frac,alpha,m_e_scaled,rydberg_rel,sigmaT_rel,gamow_rel
-0.020000,0.007151405522,19553.170576768018,1.000000000,0.000000000,0.000051143
-0.014400,0.007192270697,19331.606692714373,1.000000000,0.000000000,0.000051729
0.000000,0.007297352574,18778.865021928003,1.000000000,0.000000000,0.000053251
0.020000,0.007443299625,18049.658806159168,1.000000000,0.000000000,0.000055403
