k_target,phase_coherence,mc_mean,mc_std,z_score,p_value,window_size,stride,window_func,projection,mc_samples,run_id
137,nan,nan,nan,0,0.0,64,32,none,torus,10,run_3d7efbb5e45e59c8
139,nan,nan,nan,0,0.0,64,32,none,torus,10,run_3d7efbb5e45e59c8
