rs_n,rs_k,ofdm_channels,winding_number,prime_gate_pattern,quantization_grid,alpha_inv_predicted,electron_mass_predicted,alpha_error,electron_mass_error,combined_score
250,198,18,136,2,255,136.14999999999998,0.51112,0.8859990840000194,0.00012105000000006694,0.8981040840000261
257,195,16,145,2,256,145.02100000000002,0.5107875486381324,7.985000916000018,0.0002114013618675914,8.006141052186777
257,196,19,143,1,256,143.32100000000003,0.5108264591439688,6.28500091600003,0.00017249085603110448,6.30225000160314
254,214,19,140,1,256,140.29100000000003,0.5116251968503938,3.2550009160000286,0.0006262468503938079,3.3176256010394094
255,197,15,131,1,256,130.901,0.5109254901960785,6.134999083999986,7.345980392148288e-05,6.142345064392135
250,208,14,140,0,256,139.751,0.51152,2.715000916000008,0.0005210500000000229,2.7671059160000104
257,217,15,137,2,256,136.92100000000002,0.511643579766537,0.11499908399997594,0.0006446297665370082,0.17946206065367676
258,198,15,137,1,255,136.93,0.5108744186046512,0.10599908399998981,0.00012453139534873703,0.11845222353486351
256,209,13,144,2,255,143.70999999999998,0.5113640625,6.674000915999983,0.00036511250000004214,6.710512165999987
260,203,20,135,0,255,135.45000000000002,0.5110076923076923,1.5859990839999796,8.742307692322093e-06,1.5868733147692118
258,196,13,140,1,255,139.73,0.5107968992248062,2.694000915999993,0.0002020507751937517,2.7142059935193683
252,205,20,136,0,256,136.371,0.5113349206349207,0.6649990839999873,0.00033597063492074586,0.6985961474920619
256,199,18,142,2,255,142.20999999999998,0.5109734375,5.174000915999983,2.5512499999935656e-05,5.1765521659999765
258,203,20,134,0,256,134.431,0.5110682170542635,2.604999083999985,6.92670542635776e-05,2.611925789426343
257,197,13,142,0,256,141.721,0.5108653696498054,4.685000916000007,0.00013358035019450654,4.698358951019458
258,210,16,141,0,256,141.031,0.511339534883721,3.9950009160000093,0.0003405848837210179,4.029059404372111
256,206,16,130,0,255,130.01,0.511246875,7.025999084000006,0.0002479250000000377,7.0507915840000095
251,205,17,137,2,256,137.061,0.5113673306772909,0.02500091600001042,0.00036838067729094703,0.061838983729105124
250,203,18,139,1,255,139.14999999999998,0.51132,2.1140009159999806,0.0003210500000000449,2.146105915999985
256,199,17,130,1,255,130.10999999999999,0.5109734375,6.925999084000011,2.5512499999935656e-05,6.928550334000005
260,205,13,145,2,255,144.75,0.5110846153846154,7.714000916000003,8.566538461540762e-05,7.722567454461544
252,190,19,134,2,255,134.27,0.5107396825396826,2.7659990839999864,0.00025926746031734726,2.791925830031721
254,204,17,138,2,256,138.091,0.5112314960629921,1.0550009160000116,0.00023254606299216718,1.0782555222992283
257,203,15,143,0,255,142.92000000000002,0.5110988326848249,5.884000916000019,9.988268482497009e-05,5.893989184482516
253,192,12,142,2,256,141.581,0.5107889328063241,4.545000915999992,0.00021001719367585991,4.566002635367578
255,195,20,138,2,255,138.4,0.5108470588235294,1.364000916000009,0.00015189117647051997,1.379190033647061
255,202,18,132,1,255,132.2,0.511121568627451,4.835999084000008,0.00012261862745099883,4.848260946745108
253,205,17,135,2,255,135.07999999999998,0.511302766798419,1.9559990840000125,0.0003038167984190654,1.986380763841919
253,214,13,135,2,255,134.67999999999998,0.5116584980237154,2.3559990840000182,0.0006595480237154838,2.4219538863715666
257,199,18,145,0,256,145.221,0.5109431906614786,8.185000916000007,5.575933852131065e-05,8.190576849852139
252,200,18,141,0,255,141.17,0.511136507936508,4.134000915999991,0.00013755793650804815,4.147756709650796
251,210,13,137,2,255,136.66,0.5115665338645419,0.37599908400000004,0.0005675838645419207,0.4327574704541921
257,207,14,138,0,255,137.82000000000002,0.5112544747081712,0.784000916000025,0.00025552470817125084,0.8095533868171501
259,213,16,141,1,255,141.04,0.5114239382239383,4.004000915999995,0.00042498822393832736,4.046499738393829
253,204,17,131,1,256,131.081,0.5112632411067194,5.954999084000008,0.0002642911067194387,5.981428194671952
250,197,19,130,0,255,130.25,0.51108,6.785999083999997,8.105000000002693e-05,6.794104083999999
252,192,14,140,0,255,139.77,0.5108190476190476,2.7340009160000136,0.0001799023809523348,2.751991154095247
256,196,14,144,2,256,143.811,0.51085625,6.77500091600001,0.0001426999999999401,6.789270916000005
254,205,15,134,0,255,133.89000000000001,0.5112708661417323,3.145999083999982,0.00027191614173238676,3.1731906981732205
260,207,16,142,0,255,142.05,0.5111615384615384,5.014000916000015,0.00016258846153849316,5.0302597621538645
253,202,16,137,2,255,136.98,0.5111841897233201,0.05599908400000686,0.00018523972332018523,0.07452305633202538
256,204,19,134,2,255,134.31,0.5111687500000001,2.7259990839999944,0.00016980000000010875,2.7429790840000052
255,202,16,134,0,255,134.0,0.511121568627451,3.0359990839999966,0.00012261862745099883,3.0482609467450965
259,217,16,132,0,256,132.041,0.5115783783783784,4.994999084,0.0005794283783784326,5.052941921837843
253,206,12,131,0,255,130.57999999999998,0.5113422924901185,6.4559990840000125,0.0003433424901185811,6.49033333301187
257,211,20,142,0,255,142.42000000000002,0.5114101167315175,5.384000916000019,0.0004111667315175316,5.425117589151773
256,197,20,133,0,255,133.41,0.5108953125,3.625999084,0.00010363749999997562,3.6363628339999976
256,201,14,143,1,256,142.811,0.5110515625000001,5.77500091600001,5.261250000010431e-05,5.780262166000021
260,219,14,140,0,256,139.85100000000003,0.511623076923077,2.815000916000031,0.0006241269230770063,2.8774136083077315
255,197,20,144,0,255,144.4,0.5109254901960785,7.364000916000009,7.345980392148288e-05,7.371346896392158
