channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k_target,obs_psd,p_mc
BB,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,137,6.557678929413516e-12,0.936
BB,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,139,7.474466904107842e-12,0.3325
