name,symbol,msbar_mass_mev,pole_mass_mev,mu_mev,alpha_mu
electron,e,0.509811991691,0.510996192910,0.509811991691,7.297352573757e-03
muon,mu,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED
tau,tau,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED
