rs_n,rs_k,ofdm_channels,winding_number,prime_gate_pattern,quantization_grid,alpha_inv_predicted,electron_mass_predicted,alpha_error,electron_mass_error,combined_score
201,123,25,197,2,255,197.36,0.5093194029850746,60.32400091600002,0.0016795470149253422,60.49195561749255
218,142,16,191,4,512,190.887,0.5097137614678899,53.851000916000004,0.0012851885321100154,53.979519769211
245,207,14,193,8,128,192.573,0.5116489795918368,55.53700091600001,0.0006500295918367982,55.60200387518369
251,169,14,191,7,128,190.633,0.5099330677290836,53.59700091600001,0.0010658822709163074,53.70358914309164
241,190,26,149,9,256,149.86100000000002,0.511083817427386,12.825000916000022,8.486742738600395e-05,12.833487658738623
223,187,13,151,7,128,150.253,0.5115856502242152,13.21700091599999,0.000586700224215253,13.275670938421515
224,167,12,101,5,255,100.28999999999999,0.5106553571428571,36.745999084000005,0.00034359285714280485,36.780358369714286
218,131,11,149,0,256,148.131,0.5092091743119266,11.095000916000004,0.0017897756880733695,11.27397848480734
225,177,30,151,9,256,152.101,0.5110666666666667,15.065000916000002,6.771666666671727e-05,15.071772582666675
287,190,12,193,2,256,192.921,0.5098202090592334,55.885000915999996,0.0011787409407665317,56.00287501007665
253,212,14,149,8,512,149.037,0.5115794466403162,12.00100091600001,0.0005804966403162304,12.059050580031633
230,174,21,103,3,256,103.251,0.5107652173913043,33.78499908399999,0.00023373260869563595,33.808372344869554
292,242,13,197,1,256,197.071,0.5114876712328768,60.035000916,0.0004887212328767987,60.08387303928768
231,139,26,101,3,255,101.76,0.509217316017316,35.27599908399999,0.001781633982683939,35.45416248226839
267,170,19,127,2,255,127.42,0.5095670411985019,9.615999083999995,0.0014319088014980164,9.759189964149797
200,142,22,163,2,255,163.04999999999998,0.5103,26.014000915999986,0.000698949999999976,26.083895915999985
250,196,28,103,2,255,104.15,0.51104,32.88599908399999,4.105000000009795e-05,32.890104084
281,210,22,179,3,256,179.861,0.510673309608541,42.82500091599999,0.00032564039145899226,42.85756495514589
284,204,18,149,0,256,149.49099999999999,0.5103830985915493,12.455000915999989,0.0006158514084506628,12.516586056845055
247,194,21,197,4,255,197.42,0.5110542510121457,60.38400091599999,5.530101214579197e-05,60.38953101721457
282,213,20,151,4,256,151.67100000000002,0.5107531914893617,14.635000916000024,0.0002457585106382387,14.659576767063848
258,160,30,151,3,256,152.431,0.5094015503875969,15.395000916000015,0.0015973996124030165,15.554740877240317
211,153,26,113,3,255,113.56,0.5104511848341232,23.475999083999994,0.0005477651658767346,23.530775600587667
200,165,31,103,1,255,103.95,0.51145,33.085999083999994,0.0004510500000000084,33.13110408399999
286,243,15,101,9,128,101.08300000000001,0.5116965034965035,35.952999083999984,0.0006975534965035779,36.02275443365034
232,201,28,137,3,512,138.227,0.5118637931034483,1.1910009160000072,0.000864843103448365,1.2774852263448437
