label,theta_deg,delta,perm_p
BB,0.36,-0.0159045669,0.215789211
TT,0.38,0.00315518312,0.759262037
EE,0.38,-0.000571390071,0.958902055
BB,0.38,0.00736506574,0.439428029
TT,0.4,-0.00511609289,0.686715664
EE,0.4,-0.00664157456,0.618469077
BB,0.4,-0.00339413654,0.774861257
TT,0.42,-0.0128259903,0.297635118
EE,0.42,-0.00842033053,0.574271286
BB,0.42,-0.00298103858,0.769011549
TT,0.44,-0.0126357513,0.171741413
EE,0.44,0.0076450424,0.573571321
BB,0.44,-0.00689843483,0.377681116
TT,0.46,-0.00377366208,0.84120794
EE,0.46,-0.0139735494,0.210439478
BB,0.46,-0.00360467938,0.781560922
TT,0.48,0.00114007158,0.90860457
EE,0.48,-0.0060068512,0.598170091
BB,0.48,-0.00756915389,0.492125394
TT,0.5,0.0114402812,0.382730863
EE,0.5,-0.0109688385,0.352132393
BB,0.5,-0.00353912681,0.762061897
