channel,lmin,lmax,lmax_alm,use_full_m,welch,f0,f1,idx0,idx1,psd_f0,psd_f1,p_mc_f0,p_mc_f1,mc
TT,2,512,512,True,True,0.0072973525205055605,0.007194244604316547,60,59,0.9929463519221529,0.9124119745525936,0.5169660678642715,0.844311377245509,500
EE,2,512,512,True,True,0.0072973525205055605,0.007194244604316547,60,59,1.0674674840544203,1.0117948918358184,0.249500998003992,0.4630738522954092,500
BB,2,512,512,True,True,0.0072973525205055605,0.007194244604316547,60,59,0.8909900815948885,0.9615271881361267,0.8902195608782435,0.6147704590818364,500
