theta_deg,channel,delta_R,delta_H,delta_Qc,delta_Qd
0.215,BB,-0.00615700666119,-0.0466325995947,-0.081753488411,-0.00040511603274
0.22,BB,-0.00591844760421,-0.033826116261,-0.041481423137,-0.000217160626206
0.225,BB,-0.00568033480183,-0.0356884720806,0.0744309436748,0.000390983624038
0.23,BB,-0.00544276990845,-0.0349931321417,-0.0270276323002,-0.000128777015355
0.235,BB,-0.00520587393813,-0.0173812164263,0.0195711369151,6.21628543103e-05
0.24,BB,-0.00496980164969,0.0214272910478,-0.0354715302655,-0.000182876258507
0.245,BB,-0.00473477597643,0.00355903861519,-0.00342731309591,-9.26585564087e-06
0.25,BB,-0.00450118314757,-0.010737058389,-0.00800589274578,1.25955189169e-05
0.255,BB,-0.00426988770028,-0.0184085112203,-0.0139329506169,-7.95292900579e-05
0.26,BB,-0.00404349275394,-0.00835133951465,-0.0493495335553,-0.00024918867385
0.265,BB,-0.00383028680528,-0.00453555414874,0.0661161017732,0.000354961888433
0.27,BB,-0.0036378875675,-0.0108709362538,-0.00780674809583,-6.83574473742e-05
0.275,BB,-0.00345712999615,-0.0151969086239,-0.0354421860032,-0.000149694990734
0.28,BB,-0.00328102644895,0.0198581450661,-0.0472398448312,-0.000248785319524
0.285,BB,-0.00310755669052,0.00515837960852,0.00601222567197,2.7018401771e-05
0.29,BB,-0.0029360916431,-0.0259590705369,0.0608871478603,0.000302217410368
0.295,BB,-0.00276638261791,-0.0470650973278,-0.029876852481,-0.000120808667526
0.3,BB,-0.00259830180205,-0.0501891170961,-0.01725625878,-5.46651492043e-05
