channel,p_mc,psd,stream_n,target_f,target_period
TT,0.44510978043912175,0.7376228646927163,131838,0.0072992700729927005,137.0
TT,0.5149700598802395,0.6350101495927295,131838,0.007194244604316547,139.0
EE,0.001996007984031936,5.039346473897645,131838,0.0072992700729927005,137.0
EE,0.5089820359281437,0.6544739243040656,131838,0.007194244604316547,139.0
BB,0.6387225548902196,0.4814341356132451,131838,0.0072992700729927005,137.0
BB,0.013972055888223553,4.609790169927168,131838,0.007194244604316547,139.0
