channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k_target,obs_psd,p_mc
TT,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,34,1.7893365809664628e-07,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,35,nan,nan
