channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k_target,obs_psd,p_mc
TT,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,137,2.9358669838572946e-08,0.0
TT,256,512,1024,0.0,value,hann,True,phi-roll,2000,0,139,3.214181399434819e-08,0.0
